"year","geo_id","crop_id","average_temperature","total_precipitation","co2_emmissions","crop_yield","extreme_weather_events","irrigation_access","pesticide","fertilizer","soil_health_index","adaptation_id","economic_impact"
"1994","6","8","13.55","2895.8","1.5","3.55","6","94.31","48.76","23.63","74.06","1","1316.2"
"2006","18","3","10.13","890.52","16.65","3.474","3","18.87","15.58","75.54","52.7","2","1734.44"
"2008","20","10","9.84","2318.15","14.62","2.96","0","95.05","26.65","60.89","67.05","5","397.42"
"2007","11","9","32.22","1904.65","24.17","2.367","5","35.82","8.66","43.36","35.55","4","1093.87"
"2002","27","3","14.27","2838.72","23.81","1.467","6","85.95","17.96","78.67","45.69","3","695.54"
"2001","37","10","-2.56","968.1","14.71","1.78","2","83.63","16.76","81.77","85","3","660.38"
"2006","24","6","28.83","1127.9","12.97","1.11","8","43.43","15.22","67.29","35.83","3","507.87"
"2014","10","7","-2.66","2392.65","6.35","1.3","2","15.36","15.75","27.71","58.38","4","526.14"
"2010","23","1","16.09","2159.68","29.85","3.528","2","43.28","24.28","65.22","88.72","4","521.96"
"1996","22","1","9.04","2443.72","13.53","1.29","1","77.46","8.99","57.54","52.91","2","644.11"
"2008","12","3","9.46","2091.63","6.38","0.72","4","65.53","7.82","32.96","88.71","1","91.16"
"2016","35","1","10.21","1705.08","7.53","4.64","1","62.81","24.76","37.48","39.89","5","2145.28"
"1992","5","10","-0.23","1083.84","21.12","2.673","9","81.21","23.53","13","42.85","3","652.9"
"2009","17","6","2.6","1906.86","6.83","2.4","2","83.67","25.95","93.42","41.7","2","666.19"
"2007","5","8","26.58","1780.37","5.03","2.69","2","52.49","17.98","15.77","73","1","289.11"
"2008","33","7","20.12","1726.06","17.39","3.519","3","20.93","49.05","38.29","75.91","1","1688.01"
"2022","15","7","17.9","2948.08","17.69","2.934","2","51.74","6.4","26.94","32.34","1","1142.6"
"1997","1","6","22.27","2731.72","23.5","1.485","6","22.85","0.2","33.03","77.25","4","668.63"
"2021","39","8","10.72","2592.91","8.64","1.66","0","35.46","42.31","65.3","88.53","4","771.8"
"2004","17","6","11.52","1307.87","7.18","2.66","3","64.38","40.73","59.52","97.21","2","722.87"
"2006","35","6","-1.84","588.7","21.77","1.485","7","74.73","32.34","64.12","51.19","4","325.35"
"2022","12","10","32.86","357.28","23.51","1.215","4","34.65","42.61","31.53","74.57","1","252.29"
"2002","24","4","12.66","369.35","17.84","2.0160000000000005","2","77.67","4.51","39.68","93.93","5","887.08"
"2023","31","7","22.84","1773.19","9.19","1.27","4","52.43","25.92","10.16","86.92","1","518.85"
"2003","19","1","17.16","1583.9","26.91","2.529","9","94.01","39.18","49.74","61.18","5","1138.52"
"2008","28","4","29.98","2261.36","25.01","2.043","10","31.72","47.88","30.33","96.13","3","779.44"
"2006","38","6","13.91","2422.18","14.64","2.13","7","38.39","44.42","50.58","31.47","1","489.71"
"1997","17","1","16.16","1437.26","28.74","2.358","3","82.99","13.22","77.15","32.52","5","712.62"
"2014","28","7","11.97","925.85","18.3","4.104","3","57.32","7.4","55.64","30.69","3","732.34"
"2024","32","6","8.44","1826.14","3.77","2.39","2","16.98","17.35","27.41","52.2","5","272.17"
"2024","24","3","23.95","2897.93","1.69","1.81","4","19.24","10.6","48.6","80.74","5","653.48"
"1994","13","6","28.6","1115.66","17.61","1.638","0","48.55","47.24","51.9","32.58","3","320.7"
"2002","25","6","11.63","2213.48","21.8","3.1410000000000005","5","59.5","14.17","54.56","60.61","4","1459.41"
"2013","6","1","5.74","2114.15","13.19","2.94","9","31.08","13.41","31.29","86.23","5","413.76"
"2012","20","4","12.77","2558.77","10.54","1.6","1","44.32","25.46","87.08","55.42","3","553.08"
"2018","26","9","-3.26","2404.68","28.73","0.657","0","92.93","32.57","33.52","94.5","5","265.15"
"2021","19","3","8.2","1856.73","20.58","1.431","6","32.17","13.47","59.99","84.87","4","381.33"
"2003","38","9","-1.54","2701.05","14.45","2.14","9","55.88","0.72","81.54","45.43","4","645.17"
"1999","30","1","6.32","2275.48","27.27","1.539","3","33.44","22.08","12.94","39.63","5","197.58"
"2009","22","4","12.7","968.45","27.67","2.52","2","78.66","28.64","67.21","73.2","1","1247.07"
"2021","13","3","32.46","2043.46","0.69","1.67","2","30.86","11.17","11.07","93.12","5","174.83"
"1995","9","9","20.86","1283.71","24.56","1.2240000000000002","8","82.82","10","29.4","46","4","479.45"
"2003","7","9","33.88","2590.81","23.17","2.547","7","21.5","4.66","45.05","62.3","2","727.85"
"1998","19","5","8.51","1046.72","29.36","1.215","4","51.07","44.23","59.47","48.58","1","412.13"
"1997","14","9","3.84","1178.99","2.49","1.33","1","46.12","3.82","56.68","54.04","1","375.95"
"1999","7","5","0.86","273.9","1.22","2.277","9","18.71","39.47","6.75","57.36","3","488.49"
"2005","6","5","17.33","1339.45","9.85","3.45","0","97.49","44.92","81.19","36.4","3","1185.31"
"2004","39","9","29.61","1033.75","11.99","1.63","8","69.45","11.31","35.11","93.48","5","193.86"
"2014","11","5","27.59","1314.12","25.65","1.152","4","66.76","33.03","63.98","65.8","2","240.63"
"2017","18","6","27.8","876.63","6.2","3.15","2","31.24","48.29","75.78","91.58","4","704.54"
"2015","9","10","8.81","205.46","12.69","0.657","5","97.49","45.83","91","36.18","2","269.11"
"2013","4","2","19.01","1261.46","23.14","3.87","8","13.36","30.06","65.46","66.15","4","1632.42"
"2008","18","2","3.83","1909.91","5.79","1.11","10","94.1","44.69","14.54","85.88","3","544.02"
"2014","37","1","16.2","2682.47","3.88","3.98","6","74.93","15.43","32.79","78.83","1","871.41"
"2017","38","1","16.52","2592.7","9.25","2.31","3","96.65","44.17","21.8","49.6","4","950.32"
"2001","25","1","32.57","2108.28","28.63","3.1410000000000005","8","65.66","38.79","11.06","86.38","5","1250.65"
"1990","27","2","14.98","1175.6","25.88","4.383","8","57.06","20.34","60.94","65.92","3","1177.04"
"2011","24","10","10.99","1951.52","21.07","2.601","10","17.1","31.51","0.53","93.87","2","413.3"
"1998","39","1","14.36","296.95","28.24","3.078","7","27.39","40.37","85.26","42.59","3","713.53"
"1999","40","6","31.26","853.27","29.68","1.404","1","14.25","38.96","13.79","52.42","1","614.88"
"2010","36","9","1.97","2570.13","23.17","2.556","5","80.65","28.8","73.42","88.46","5","829.84"
"2015","13","5","8.37","764.58","15.02","1.584","4","92.39","40.08","98.74","36.01","1","231.72"
"2008","33","7","24.57","1212.42","4.38","3","2","34.16","39.46","69.5","85.01","4","1374.56"
"2014","7","1","34.88","2816.57","22.88","1.035","7","54.64","31.62","58.32","53.06","4","428.81"
"2017","5","6","25.13","917.26","16.93","1.566","0","76.86","41.65","5.9","33.24","2","354.12"
"1990","25","2","15.42","269.76","29.93","2.007","5","70.8","49.57","22.82","67.66","2","795.47"
"2004","21","8","-4.37","2292.03","29.68","2.583","2","13.27","22.33","52.3","97.11","3","878.12"
"2024","40","6","34.18","2247.4","27.31","3.33","7","21.7","27.31","99.55","69.96","5","668.04"
"1993","12","10","17.03","2963","15.89","3.015","10","90.01","45.42","97.86","64.64","5","903.09"
"2023","33","1","28.55","2395.28","6","2.17","6","30.69","6.61","9.43","31.11","4","293.21"
"2003","11","2","32.69","2947.62","15.42","0.7290000000000001","10","56.93","4.64","14.98","76.36","5","281.67"
"2023","9","7","29.49","935.71","20.08","2.655","3","24.55","0.67","72.4","98.17","5","1185.57"
"1995","18","1","4.73","2974.22","1.61","2.97","2","14.16","40.81","56.93","44.34","5","658.82"
"2010","12","5","19.91","852.78","4.05","2.09","0","82.37","43","39.09","62.78","4","710.31"
"2010","36","7","31.97","1101.92","14.96","1.99","10","59.55","25.43","39.1","34.42","3","388.26"
"2007","12","8","28.35","2444.37","13.7","2.6","5","49.37","25.89","25.3","42.09","2","388.79"
"1995","11","3","11.56","2329.59","25.09","1.53","2","47.26","17.61","14.11","75.76","5","457.67"
"2003","34","1","4.3","2944.75","25.29","0.5940000000000001","3","75.39","2.98","63.54","38.98","5","149.94"
"1991","26","8","1.28","1509.39","7.2","2.56","0","78.62","10.99","44.64","43.56","2","704.03"
"2023","26","3","1.63","2849.39","10.63","1.01","8","22.35","40.22","77.36","62.31","1","449.33"
"2003","13","1","3.21","1949.4","13.8","0.9","1","10.42","18.5","55.28","33.1","3","234.2"
"1993","27","7","16.71","1542.5","5.86","3.85","7","65.03","43.62","92.96","39.76","3","873.87"
"1995","12","9","27.16","1497.41","19.99","2.3400000000000003","10","30.3","38.61","48.12","58.51","5","611.28"
"1997","36","8","15.73","1302.95","23.33","2.988","5","75.15","0.25","2.76","82.94","1","552.73"
"1991","31","2","10.87","333.73","23.89","1.872","0","81.17","43.3","72.31","91.02","3","847.03"
"2013","16","5","32.56","2844.46","1.63","3.69","7","84.92","37.54","9.09","97.38","4","1045.41"
"2019","36","2","17.6","2432.88","14.56","4.87","10","73.27","20.18","6.68","71.26","4","1853.02"
"2020","20","4","17.81","796.73","10.18","3.67","6","58.78","1.44","75.03","57.88","2","1737.96"
"1990","32","6","23.2","1012.38","20.9","2.637","0","78.41","39","10.63","66.69","5","843.96"
"1997","11","9","4.88","708.98","3.03","2.93","4","77.1","18.45","54.79","53.34","5","1216.18"
"2002","23","2","16.35","248.51","11.88","3.357","0","24.7","27.26","36.21","81.57","3","1403.94"
"1996","30","10","25.49","572.52","6.81","2.78","2","45.22","33.49","89.6","71.61","5","971.09"
"2017","23","9","33.18","2917.84","17.54","3.5010000000000003","1","15.28","26.14","91.81","64.77","1","1181.03"
"2003","3","10","27.94","1819.47","7.62","3.82","6","87.99","36.28","74.59","42.72","2","1028.1"
"2004","9","8","25.96","1160.56","16.49","3.321","3","36.44","39.72","99.88","77.14","5","1499.9"
"1997","2","5","14.81","1514.92","27.25","4.014","7","79.56","12.01","40.67","73.87","2","838.89"
"2000","23","6","33.06","465.15","9.33","3.051","4","90.52","15.95","46.05","36.68","1","615.28"
"2011","17","9","12.15","212.75","10.89","3.807","1","17.25","36.26","27.52","54.25","2","1843.68"
"2005","15","8","21.28","1176.16","25.81","1.035","8","67.2","49.61","2.17","37.96","4","258.14"
"2002","17","1","31.96","1018.12","14.57","3.72","4","51.54","1.06","56.95","31.4","3","1298.43"
"1994","37","1","31.39","798.65","8.8","0.83","7","56.83","45.07","32.18","87.31","3","389.41"
"2012","21","6","11.88","1364.47","8.22","4.18","4","68.36","32.53","71.58","78.06","1","1787.22"
"2024","36","6","-1.03","1375.44","26.71","0.486","7","88.96","5.72","54.86","31.47","3","204.96"
"1994","24","3","21.13","1073.43","26.99","0.954","1","58.11","31.47","56.19","83.8","4","456"
"1992","30","6","20.9","2339.05","1.77","2.31","2","82.68","43.59","42.7","54.24","2","552.67"
"2010","5","2","21.77","210.3","9.99","0.801","9","19.24","25.13","71.99","51.83","1","100.84"
"2019","1","5","-2.7","2741.68","7.91","1.74","10","35.05","45.26","42.16","93.52","4","305.28"
"2009","22","10","28.85","2028.33","7.96","3.12","8","88.88","42.02","78","32.44","2","396.48"
"2019","38","8","14.31","2022.69","27.14","3.78","6","91.55","43.62","46.35","40.85","4","850.51"
"2018","12","6","1.69","1012.26","12.19","0.57","4","88.68","26.17","16.25","74.24","1","183.67"
"1991","2","8","33.32","1456.66","16.4","1.791","4","86.49","30.54","53.49","59.54","5","306.41"
"1992","1","2","4","2553.17","3.48","2.29","10","67.29","47.98","25.83","62.31","1","833.4"
"1999","38","1","17","2502.55","4.88","3.26","0","33.91","44.82","94.42","42.89","5","663.41"
"2009","36","10","1.63","1942.88","16.49","0.738","7","50.86","23.72","96.68","98.64","3","75.25"
"2017","35","10","6.68","2298.79","20.59","1.53","9","44.55","20.88","16.19","61.68","3","580.38"
"2016","17","5","27.23","481.89","2.87","2.403","10","79.43","5.38","17.79","34.15","3","988.55"
"1992","27","6","12.19","1357.22","19.44","2.394","8","81.02","48.28","27.59","42.97","2","913.1"
"2018","24","8","32.26","1491.16","11.18","2.08","3","19.95","31.9","62.14","54.36","5","817.56"
"2007","1","6","1.41","1433.18","19.37","1.782","5","79.11","14.82","89.32","59.11","4","236.32"
"1995","1","10","16.39","1428.32","24.65","2.385","6","98.06","26.21","97.73","59.59","1","689.41"
"2002","20","10","28.84","2179.58","5.9","3.74","3","60.02","46.67","68.67","78.81","5","547.46"
"2011","35","10","27.48","874.46","22.34","3.402","8","40.45","46.63","37.36","63.71","5","1499.57"
"1991","39","2","8.13","2051.08","17.28","1.098","5","98.24","11.56","14.17","58.95","5","369.05"
"2023","40","8","2.04","2149.31","14.69","2.97","0","52.9","30.39","76.8","88.82","5","875.71"
"2007","2","4","24.47","1646.89","11.21","2.04","10","25.3","32.98","68.66","91.42","4","937.12"
"2001","30","1","-1.45","1389.08","23.59","2.439","4","39.1","43.63","47.33","56.63","2","366.9"
"2013","11","9","29.12","2010.44","21.89","2.1870000000000003","9","80.23","26.64","55.08","61.82","2","579.77"
"1992","2","4","7.06","416.45","1.35","1.404","10","96.22","43.96","48.55","96.09","5","292.31"
"2006","23","5","32.45","2580.32","10.97","3.79","5","44.69","38.67","54.72","42.23","5","669.94"
"2019","8","10","31.6","2790.32","13.98","0.87","10","66.9","42.72","30.6","77.27","2","409.2"
"1999","6","5","23.99","2699.58","3.26","1.17","6","98.4","26.55","40.53","77.68","4","581.73"
"1996","5","2","19.32","1896.87","4.49","4.77","9","89.2","24.85","43.11","69.6","3","716.72"
"1998","21","5","29.37","522.22","4.89","1.02","9","70.35","38.94","83.36","51.73","5","305.42"
"2021","30","3","7.83","254.8","15.02","2.574","3","55.91","18.76","8.27","67.69","4","1095.07"
"2018","14","7","26.81","1496.37","24.25","1.2240000000000002","2","47.67","2.4","40.19","54.11","3","511.51"
"2000","29","9","32.89","1533.09","20.34","3.015","1","58.75","5.1","73.73","33.32","1","1449.08"
"1997","39","8","19.83","2968.49","26.13","2.268","3","76.75","31.85","58.85","86.44","2","578.12"
"1994","17","5","13.05","1951.82","20.76","2.547","10","98.63","23.35","96.89","46.25","2","983.49"
"2012","27","10","15.16","2475.16","27.31","3.717","5","83.34","15.67","28.56","98.12","5","1117.25"
"2009","1","10","19.21","1773.68","28.44","3.375","2","75.15","38.67","91.81","36.04","4","1121.3"
"2017","30","1","7.58","222.48","17.26","1.134","2","70.69","21.15","62.77","77.85","3","230.89"
"2012","22","3","9.37","479.27","7.62","2.331","6","53.63","12.33","27.94","96.64","5","1065.72"
"2009","7","7","31.32","249.92","9.55","0.81","6","28.44","29.23","34.74","99.42","4","390.22"
